original_id,pdf_page_start,pdf_page_end,decision,review_reason,study_card,prior_review_decision,related_objectives,technical_sources
A014,7,7,retained,Scenario retained. NFC operates at 13.56 MHz and supports close-range credential exchange. Devices are normally brought within a small fraction of an inch to around an inch for a tap. NFC may exchange a small payload or start a Bluetooth connection; it is not the best choice for sustained large-file transfers.,A014,keep,"1.2, 2.2",https://nfc-forum.org/learn/nfc-technology/
A015,7,7,retained,Adapted and corrected. Calibration maps touch coordinates to display coordinates. It applies only to devices that support the procedure; random drifting can have other causes.,A015,rewrite,"1.1, 5.4",https://www.dell.com/support/kbdoc/en-us/000132121/how-to-troubleshoot-touchscreen-touch-panel-issues
A016,8,8,retained,Adapted and corrected. HDMI can carry video and audio. Select the HDMI audio output and check volume after connecting it.,A016,rewrite,"3.2, 5.3",https://www.hdmi.org/spec/hdmi1_4b; https://support.microsoft.com/en-us/windows/fix-sound-or-audio-problems-in-windows-73025246-b61c-40fb-671a-2535c7cd56c8
A017,8,8,removed,Symptoms do not establish internet failure versus gateway/addressing issue; insufficient diagnostics.,,remove,,https://assets.ctfassets.net/82ripq7fjls2/1oSdlyujpaX3GrM0rir6Ge/91afb2be72785281e8fb4c0d9a70c6f4/CompTIA-A-220-1201-Exam-Objectives-3.0.pdf
A018,8,9,retained,"Scenario retained. MDM supports policies, approved apps and remote wipe on enrolled devices. An organization can distribute settings and apps and enforce supported policies. Capabilities depend on device ownership, platform and enrollment type. Enrollment does not mean every personal detail becomes visible to IT.",A018,keep,1.3,https://learn.microsoft.com/en-us/intune/fundamentals/what-is-intune
A019,9,9,retained,Adapted and corrected. DSL uses telephone copper. POTS means Plain Old Telephone Service. A shared-line failure can affect both services.,A019,rewrite,2.7,https://www.verizon.com/support/residential/internet/getting-started/setup-dsl
A020,9,10,retained,Adapted and corrected. Only A meets both explicit resource requirements. The missing comparison exhibit is replaced with a complete text scenario.,A020,rewrite,4.1,https://learn.microsoft.com/en-us/windows-server/virtualization/hyper-v/host-hardware-requirements
A021,10,10,removed,Rote troubleshooting step ordering is explicitly outside the current exam objectives.,,remove,,https://assets.ctfassets.net/82ripq7fjls2/1oSdlyujpaX3GrM0rir6Ge/91afb2be72785281e8fb4c0d9a70c6f4/CompTIA-A-220-1201-Exam-Objectives-3.0.pdf
A022,10,10,retained,Scenario retained. Distributes requests across backend servers; verify health and algorithm. This can improve capacity and availability. Health checks help avoid failed servers. A load balancer does not automatically add servers; scaling must be configured separately.,A022,keep,2.3,https://aws.amazon.com/what-is/load-balancing/
A023,10,11,removed,"White space alone cannot distinguish layout, media, imaging or feed problems.",,remove,,https://assets.ctfassets.net/82ripq7fjls2/1oSdlyujpaX3GrM0rir6Ge/91afb2be72785281e8fb4c0d9a70c6f4/CompTIA-A-220-1201-Exam-Objectives-3.0.pdf
A024,11,11,retained,Adapted and corrected. The output wattage is inadequate for the measured load. A supported 115 V input is not itself the problem.,A024,rewrite,3.6,https://www.corsair.com/ww/en/p/psu/cp-9020170-na/vs-series-vs450-450-watt-80-plus-white-certified-psu-cp-9020170-na; https://help.corsair.com/hc/en-us/articles/14641912717453-PSU-Efficiency-Ratings-Explained
A025,11,11,retained,"Scenario retained. Digitizer detects touch input; display produces image. The digitizer turns touches into location data. Check supported calibration, driver and settings first. Inspect hardware and connections if appropriate. A working image does not prove the touch layer works, and not every screen supports manual calibration.",A025,keep,"1.1, 5.4",https://www.dell.com/support/kbdoc/en-us/000132121/how-to-troubleshoot-touchscreen-touch-panel-issues
A026,11,12,retained,"Adapted and corrected. Measured service tracks consumption. The contract determines billing, which may also include fixed fees or commitments.",A026,rewrite,4.2,https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-145.pdf
A027,12,12,removed,No workload or budget measurements justify one 15000 rpm disk over a redundant array.,,remove,,https://assets.ctfassets.net/82ripq7fjls2/1oSdlyujpaX3GrM0rir6Ge/91afb2be72785281e8fb4c0d9a70c6f4/CompTIA-A-220-1201-Exam-Objectives-3.0.pdf
A028,12,12,retained,"Scenario retained. Hold jobs until authenticated release to reduce abandoned prints. A PIN, badge or authenticated release can hold the job until the user arrives. This protects physical pickup; it does not automatically encrypt every network transfer or stored copy.",A028,keep,3.7,https://support.hp.com/us-en/document/c05500352
A029,12,13,removed,Stem is truncated and missing the symptom.,,remove,,https://assets.ctfassets.net/82ripq7fjls2/1oSdlyujpaX3GrM0rir6Ge/91afb2be72785281e8fb4c0d9a70c6f4/CompTIA-A-220-1201-Exam-Objectives-3.0.pdf
A030,13,13,removed,DDR3 is not a universal modern desktop recommendation; platform compatibility is unspecified.,,remove,,https://assets.ctfassets.net/82ripq7fjls2/1oSdlyujpaX3GrM0rir6Ge/91afb2be72785281e8fb4c0d9a70c6f4/CompTIA-A-220-1201-Exam-Objectives-3.0.pdf
A031,13,13,retained,Adapted and corrected. The long signal path causes substantial propagation delay. A faster download plan or a modem restart cannot remove that distance; low-Earth-orbit service differs.,A031,rewrite,2.7,https://www.esa.int/Enabling_Support/Space_Transportation/Types_of_orbits
A032,13,14,retained,"Scenario retained. Guests require logical separation plus guest and host security. Limit shared folders, clipboard, device access and network connectivity for risky testing. A VM escape is a breach from guest to host. Do not assume running malware in any VM makes it harmless.",A032,keep,4.1,https://learn.microsoft.com/en-us/windows/security/application-security/application-isolation/windows-sandbox/windows-sandbox-configure-using-wsb-file
A033,14,14,removed,Multithreading is not hardware virtualization; none of the listed options reliably solves this.,,remove,,https://assets.ctfassets.net/82ripq7fjls2/1oSdlyujpaX3GrM0rir6Ge/91afb2be72785281e8fb4c0d9a70c6f4/CompTIA-A-220-1201-Exam-Objectives-3.0.pdf
A034,14,14,retained,"Scenario retained. Another application may hold the camera; close it and retry. Also check any privacy shutter or switch. For an external webcam, confirm the USB connection. If every app fails, test the driver and hardware path. One app failure is not proof of a damaged camera.",A034,keep,"1.1, 5.4",https://support.microsoft.com/en-us/windows/hardware/camera/camera-doesn-t-work-in-windows
A035,14,15,retained,"Scenario retained. Use isolated test environment; a VM alone is not a complete security boundary. Limit shared folders, clipboard, device access and network connectivity for risky testing. A VM escape is a breach from guest to host. Do not assume running malware in any VM makes it harmless.",A035,keep,4.1,https://learn.microsoft.com/en-us/windows/security/application-security/application-isolation/windows-sandbox/windows-sandbox-configure-using-wsb-file
A036,15,15,retained,Adapted and corrected. The firmware and old driver are incompatible in this stated case. Install the supported matching driver on the print server.,A036,rewrite,"3.7, 5.6",https://support.hp.com/ca-en/document/c03265802
A037,15,16,retained,Scenario retained. Inspect indicated paper path safely; allow hot fuser to cool and follow manual. Pull paper in the instructed direction to avoid damage. A manual-feed prompt may instead mean the job requests another tray or size. Do not bypass a sensor to make the warning disappear.,A037,keep,5.6,https://help.brother-usa.com/app/answers/detail/a_id/182556/~/jam-error-messages
A038,16,16,retained,Adapted and corrected. 1000BASE-T uses all four pairs and was designed for suitable Category 5 cabling. Damage or negotiation can cause a slower link.,A038,rewrite,3.2,https://www.cisco.com/c/en/us/td/docs/switches/lan/catalyst1000/hardware/installation/24_48_port_hig/b_c1000_24_48_hig/product_overview.html
A039,16,16,removed,No data-preservation-first answer is provided; stressing a failing unbacked-up drive with diagnostics is poor advice.,,remove,,https://assets.ctfassets.net/82ripq7fjls2/1oSdlyujpaX3GrM0rir6Ge/91afb2be72785281e8fb4c0d9a70c6f4/CompTIA-A-220-1201-Exam-Objectives-3.0.pdf
A040,16,17,removed,"Same cable works on a test laptop, which narrows the issue to the workstation but does not prove its NIC is faulty.",,remove,,https://assets.ctfassets.net/82ripq7fjls2/1oSdlyujpaX3GrM0rir6Ge/91afb2be72785281e8fb4c0d9a70c6f4/CompTIA-A-220-1201-Exam-Objectives-3.0.pdf
A041,17,17,retained,Scenario retained. Ask what changed and establish symptoms before replacing hardware. A driver lets the OS communicate with hardware. Use the manufacturer or approved update source. A targeted rollback or supported update may help; replacing hardware without testing the software cause is premature.,A041,keep,5.1,https://support.microsoft.com/en-us/windows/update-drivers-through-device-manager-in-windows-ec62f46c-ff14-c91d-eead-d7126dc1f7b6
A042,17,18,retained,Scenario retained. A faint visible image with illumination failure points to backlight path. LCD means Liquid Crystal Display. Many current LCDs use LED backlighting; some older CCFL-backlit displays use an inverter. Do not prescribe an inverter replacement for every dim modern screen. Check brightness settings too.,A042,keep,"3.1, 5.3",https://www.dell.com/support/kbdoc/en-us/000134946/how-to-troubleshoot-display-or-video-issues-on-dell-laptop-lcd-panel
A043,18,18,removed,Error message absent and beep meanings are vendor-specific; no defensible pair.,,remove,,https://assets.ctfassets.net/82ripq7fjls2/1oSdlyujpaX3GrM0rir6Ge/91afb2be72785281e8fb4c0d9a70c6f4/CompTIA-A-220-1201-Exam-Objectives-3.0.pdf
A044,18,18,retained,Scenario retained. Select matching monitor input and verify video cable/path. The display can have power while receiving no usable signal. Test with a known-good cable or source to narrow the fault. A no-signal message alone does not prove a failed GPU.,A044,keep,"3.1, 5.3",https://www.dell.com/support/kbdoc/en-tw/000132110/how-to-troubleshoot-a-dell-desktop-monitor?lang=en
A045,18,19,retained,Adapted and corrected. More RAM reduces paging; an SSD improves storage access. Neither change is justified by a database workload alone without checking the bottleneck.,A045,rewrite,"3.3, 5.1",https://learn.microsoft.com/en-us/troubleshoot/windows-client/performance/introduction-to-the-page-file
A046,19,19,retained,"Scenario retained. Prioritize recoverable data; minimize use and escalate irreplaceable data to recovery specialists. Repeated unnecessary use can worsen some failures. Check connections too, but do not assume a filesystem repair fixes mechanical damage. A current tested backup reduces the impact.",A046,keep,5.2,https://www.seagate.com/support/kb/my-system-reported-a-smart-error-on-the-drive-184619en/
A047,19,19,removed,"Core 2 removable-media encryption topic; also BitLocker To Go is a Windows feature, not installed on the stick.",,remove,,https://assets.ctfassets.net/82ripq7fjls2/1oSdlyujpaX3GrM0rir6Ge/91afb2be72785281e8fb4c0d9a70c6f4/CompTIA-A-220-1201-Exam-Objectives-3.0.pdf
A048,19,20,retained,Scenario retained. Enable automatic duplex in supported printer driver/settings. Automatic duplex hardware turns or routes the page internally; manual duplex asks the user to reinsert it. Choose the correct binding edge so the back side is not upside down.,A048,keep,3.7,https://download.brother.com/welcome/doc002441/hl5380dn_ukeng_usr_b.pdf
A049,20,20,retained,"Scenario retained. Capacity grows and shrinks with demand. Multi-tenancy means multiple customers use shared underlying infrastructure with logical separation. Keeping unnecessary capacity permanently allocated is overprovisioning, not the definition of elasticity.",A049,keep,4.2,https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-145.pdf
A050,20,20,retained,Adapted and corrected. A loose USB connection interrupts the camera's data or power path. Check the simple physical fault before software changes.,A050,rewrite,"1.1, 5.4",https://support.microsoft.com/en-us/windows/hardware/camera/camera-doesn-t-work-in-windows
A051,20,21,retained,"Scenario retained. Web server responds to HTTP/HTTPS requests. HTTP means Hypertext Transfer Protocol. TLS means Transport Layer Security. HTTPS protects the connection; it does not prove that a site's claims are honest. HTTP/3 uses QUIC over UDP, commonly on 443.",A051,keep,"2.1, 2.3",https://www.rfc-editor.org/rfc/rfc9110; https://www.rfc-editor.org/rfc/rfc9114
A052,21,21,retained,"Adapted and corrected. The measured interference and timing point to radio interference, not the internet provider or a hidden network name.",A052,rewrite,"2.2, 5.5",https://www.cisco.com/c/en/us/td/docs/wireless/controller/9800/technical-reference/wireless-rf-reference-guide.html
A053,21,21,retained,"Scenario retained. Two mirrored 4 TB disks give about 4 TB usable and survive one disk loss; not a backup. Usable capacity is limited to roughly one member's capacity, assuming equal drives and ignoring overhead. Mirroring also copies unwanted changes, so a separate backup is still necessary.",A053,keep,3.4,https://www.dell.com/support/kbdoc/en-us/000128635/dell-servers-what-are-the-raid-levels-and-their-specifications
A054,21,22,retained,"Scenario retained. 802.11n introduced MIMO among listed standards; later Wi-Fi also supports it. Both ends must support the relevant features. MU-MIMO means Multi-User MIMO. Antenna count, channel width and stream count influence the link; they do not guarantee internet speed.",A054,keep,2.2,https://www.cisco.com/c/en/us/products/collateral/wireless/aironet-1850-series-access-points/datasheet-c78-734256.html
A055,22,22,retained,Adapted and corrected. Debris can obstruct key movement. Clean using the manufacturer's procedure; continued failures may require keyboard service.,A055,rewrite,"1.1, 5.4",https://support.microsoft.com/en-US/Windows/Hardware/input-devices/mouse-and-keyboard-problems-in-windows
A056,22,23,retained,"Scenario retained. M.2 SSD plugs into motherboard slot; verify SATA/NVMe support. Match the electrical interface, keying and supported card length. M.2 2280 is about 0.87 by 3.15 inches; the name retains the standard's size code. A physically fitting drive may still be unsupported.",A056,keep,3.4,https://www.kingston.com/en/ssd/ssd-faq
A057,23,23,removed,"VT-d is I/O virtualization, not the general CPU virtualization prerequisite; VT-x/AMD-V is missing.",,remove,,https://assets.ctfassets.net/82ripq7fjls2/1oSdlyujpaX3GrM0rir6Ge/91afb2be72785281e8fb4c0d9a70c6f4/CompTIA-A-220-1201-Exam-Objectives-3.0.pdf
A058,23,23,retained,Scenario retained. ADF feeds multiple sheets; flatbed suits single or bound originals. It handles input pages. It is not the same as a printer's output duplexer. Check whether the particular ADF supports scanning both sides.,A058,keep,3.7,https://support.hp.com/us-en/document/ish_2056394-2056383-16
A059,23,24,retained,"Adapted and corrected. Satellite can serve remote locations without a wired last-mile connection. Coverage, local rules and suitable terminal placement remain necessary.",A059,rewrite,2.7,https://www.esa.int/Enabling_Support/Space_Transportation/Types_of_orbits
A060,24,24,removed,Both network utilization and server disk health are plausible; no evidence picks a next step.,,remove,,https://assets.ctfassets.net/82ripq7fjls2/1oSdlyujpaX3GrM0rir6Ge/91afb2be72785281e8fb4c0d9a70c6f4/CompTIA-A-220-1201-Exam-Objectives-3.0.pdf
A061,24,24,retained,"Adapted and corrected. A UPS supplies temporary battery power. It is one part of availability planning, not a guarantee of maximum uptime.",A061,rewrite,3.6,https://www.eaton.com/content/dam/eaton/products/backup-power-ups-surge-it-power-distribution/backup-power-ups/eaton-ups-fundamentals-handbook-en-us-2025.pdf
A062,24,24,retained,Adapted and corrected. The measured memory shortage justifies the RAM upgrade. File size or slow performance alone would not prove the cause.,A062,rewrite,"3.3, 5.1",https://learn.microsoft.com/en-us/troubleshoot/windows-client/performance/introduction-to-the-page-file
A063,24,25,retained,Adapted and corrected. Inspect terminations and visible damage before replacing the entire run. This length is below the usual 328 ft channel limit; LED colors are model-specific.,A063,rewrite,5.5,https://www.cisco.com/c/en/us/support/docs/switches/catalyst-9500-series-switches/218397-troubleshoot-port-flaps-on-catalyst-9000.html
A064,25,25,retained,"Adapted and corrected. Quiet spectrum is not necessarily legal or supported spectrum. Hardware, regulatory rules and features such as radar detection affect channel availability.",A064,rewrite,2.2,https://www.cisco.com/c/en/us/td/docs/wireless/controller/9800/technical-reference/wireless-rf-reference-guide.html
A065,25,25,retained,Scenario retained. Managed runtime/development platform supports deploying app code. It supplies an application platform so developers can focus on code and data. The exact responsibility boundary depends on the service; it is different from renting a bare VM to administer yourself.,A065,keep,4.2,https://azure.microsoft.com/en-us/resources/cloud-computing-dictionary/what-are-iaas-paas-and-saas
A066,25,26,retained,"Adapted and corrected. A compatible Windows VM can run the application. Guest architecture, licensing and hardware support must match; this is not guaranteed for every Mac or application.",A066,rewrite,"3.7, 5.6",https://support.hp.com/ca-en/document/c03265802
A067,26,26,retained,Scenario retained. eSATA is an external SATA interface; retained as explicitly listed legacy hardware knowledge. NVMe is designed for efficient access to nonvolatile storage such as SSDs. An M.2 SATA SSD does not become NVMe because it is small. Match the host interface and enclosure.,A067,keep,"3.2, 3.4",https://www.kingston.com/en/ssd/ssd-faq; https://www.kingston.com/en/ssd/ssd-faq
A068,26,26,retained,"Scenario retained. FTP control uses TCP 21; active-mode data traditionally TCP 20; unencrypted without TLS. Passive mode uses a server-selected data port. Plain FTP does not encrypt credentials or files. SFTP is a different protocol carried over SSH, normally TCP 22.",A068,keep,2.1,https://www.rfc-editor.org/rfc/rfc959
A069,26,27,retained,"Scenario retained. Mechanical HDD can click; SSD has no moving parts. Repeated unnecessary use can worsen some failures. Check connections too, but do not assume a filesystem repair fixes mechanical damage. A current tested backup reduces the impact.",A069,keep,5.2,https://www.seagate.com/support/kb/my-system-reported-a-smart-error-on-the-drive-184619en/
A070,27,27,removed,Stem is truncated; no environmental evidence supports shielded cable.,,remove,,https://assets.ctfassets.net/82ripq7fjls2/1oSdlyujpaX3GrM0rir6Ge/91afb2be72785281e8fb4c0d9a70c6f4/CompTIA-A-220-1201-Exam-Objectives-3.0.pdf
A071,27,27,retained,"Scenario retained. Normal picture with lost touch points to input path, subject to further diagnosis. The digitizer turns touches into location data. Check supported calibration, driver and settings first. Inspect hardware and connections if appropriate. A working image does not prove the touch layer works, and not every screen supports manual calibration.",A071,keep,"1.1, 5.4",https://www.dell.com/support/kbdoc/en-us/000132121/how-to-troubleshoot-touchscreen-touch-panel-issues
A072,27,28,retained,Adapted and corrected. The model-specific diagnostic evidence identifies the fuser. Ghosting alone can also involve other imaging components.,A072,rewrite,5.6,https://support.hp.com/ca-en/document/ish_6747730-6747774-16
A073,28,28,retained,Adapted and corrected. The qualification 'known destination' matters. Switches still flood broadcasts and unknown unicast frames within the applicable VLAN.,A073,rewrite,"2.5, 2.4",https://www.cisco.com/c/en/us/solutions/small-business/resource-center/networking/networking-basics.html
A074,28,28,retained,Adapted and corrected. The battery-health result supplies direct evidence. Stop charging and arrange safe service; heat or slowness alone would not identify the part.,A074,rewrite,5.4,https://www.dell.com/support/kbdoc/en-us/000128491/swollen-battery-information-and-guidance
A075,28,29,retained,"Scenario retained. Authorized cellular hotspot can provide temporary connectivity where coverage permits. A hotspot commonly shares cellular service over Wi-Fi; tethering is the broader sharing idea. A compatible cellular modem is another option. Carrier plans, coverage and data allowances still apply.",A075,keep,1.3,https://support.apple.com/en-us/111785
A076,29,29,retained,"Scenario retained. Verify CPU socket, chipset and firmware support; never force a CPU. A socket is the physical CPU connection. Check the motherboard's supported CPU list and required firmware version. Avoid forcing a processor or relying only on a family name such as Core i7.",A076,keep,3.5,https://www.intel.com/content/www/us/en/support/articles/000027816/processors/intel-core-processors.html
A077,29,29,retained,Adapted and corrected. Excess heat darkens heat-sensitive media. Use the approved setting; this printer does not use an ink cartridge or ink ribbon.,A077,rewrite,3.8,https://prod-www.zebra.com/us/en/resource-library/faq/difference-between-direct-thermal-and-thermal-transfer-printing.html
A078,29,30,removed,Record sensitivity alone does not determine deployment model or attack surface.,,remove,,https://assets.ctfassets.net/82ripq7fjls2/1oSdlyujpaX3GrM0rir6Ge/91afb2be72785281e8fb4c0d9a70c6f4/CompTIA-A-220-1201-Exam-Objectives-3.0.pdf
A079,30,30,removed,"Core 2 Windows management tool question; DiskPart also lists disks, so key is not unique.",,remove,,https://assets.ctfassets.net/82ripq7fjls2/1oSdlyujpaX3GrM0rir6Ge/91afb2be72785281e8fb4c0d9a70c6f4/CompTIA-A-220-1201-Exam-Objectives-3.0.pdf
A080,30,30,retained,Adapted and corrected. Use a compatible RJ45-style plug and the correct crimper. A wall jack may instead use a punchdown or tool-less termination.,A080,rewrite,"2.8, 3.2",https://data.kleintools.com/sites/kleintools/files/tool-catalog/82820_TelecomCatalog.pdf
A081,30,31,retained,"Scenario retained. T568A and T568B swap orange and green pair positions, not throughput. A straight-through cable uses the same scheme at both ends. A and B swap the orange and green pair positions. Keep each pair correctly twisted and follow the connector's wiring guide.",A081,keep,3.2,https://www.flukenetworks.com/blog/cabling-chronicles/wire-map-testing-it-s-not-all-about-color
A082,31,31,retained,Adapted and corrected. The backup battery maintains the real-time clock without external power. Follow the model's replacement procedure.,A082,rewrite,"3.5, 5.1",https://i.dell.com/sites/csdocuments/Business_solutions_engineering-Docs_Documents/en/r815-tech-guide.pdf
A083,31,31,retained,"Adapted and corrected. Routing separates networks. A managed switch can also create broadcast domains with VLANs, so 'switches never separate broadcasts' would be wrong.",A083,rewrite,"2.5, 2.4",https://www.cisco.com/c/en/us/solutions/small-business/resource-center/networking/networking-basics.html
A084,31,32,retained,Adapted and corrected. A Personal Area Network connects a person's nearby devices. A cable used only for charging would not create a network.,A084,rewrite,2.7,https://www.cisco.com/c/en/us/solutions/small-business/resource-center/networking/networking-basics.html; https://www.ibm.com/think/topics/block-storage
A085,32,32,retained,"Scenario retained. Direct thermal printing needs compatible heat-sensitive paper with correct orientation. A direct thermal printer does not require an ink ribbon. Wrong media, heat settings or a dirty head can affect output. Choose the method and approved media for the label's required durability.",A085,keep,3.8,https://prod-www.zebra.com/us/en/resource-library/faq/difference-between-direct-thermal-and-thermal-transfer-printing.html
A086,32,32,retained,"Adapted and corrected. The external keyboard narrows the fault to the built-in input path, and visible debris supports cleaning before replacement.",A086,merge,"1.1, 5.4",https://support.microsoft.com/en-US/Windows/Hardware/input-devices/mouse-and-keyboard-problems-in-windows
A087,32,32,removed,Wording contradicts the intended availability goal; ambiguous privacy concern.,,remove,,https://assets.ctfassets.net/82ripq7fjls2/1oSdlyujpaX3GrM0rir6Ge/91afb2be72785281e8fb4c0d9a70c6f4/CompTIA-A-220-1201-Exam-Objectives-3.0.pdf
A088,32,33,retained,Scenario retained. Keyboard/video/mouse switch shares peripherals between computers. A KVM switch changes which computer receives those input/output devices. It does not combine the computers' CPU power or act as a general network switch.,A088,keep,"1.2, 3.2",https://sgcdn.startech.com/005329/media/sets/SV431DPUA2/SV431DPUA2_usermanual.pdf
A089,33,33,retained,"Adapted and corrected. A SATA SSD fits the stated interface and has no spinning mechanism. A 15,000 rpm HDD is still mechanical, and a SAS SSD needs SAS support.",A089,rewrite,3.4,https://www.kingston.com/en/ssd/desktop-laptop-workstations
A090,33,33,retained,Scenario retained. Hypervisor creates/manages VMs and allocates host resources. A VM presents virtual hardware to a guest OS. A management interface that looks like a desktop app does not by itself determine the hypervisor type.,A090,keep,4.1,https://learn.microsoft.com/en-us/windows-server/virtualization/hyper-v/overview; https://docs.oracle.com/en/virtualization/virtualbox/7.1/user/Introduction.html
A091,33,34,retained,Adapted and corrected. Channel planning addresses radio contention. Merely choosing different channel numbers is insufficient if those channels overlap.,A091,rewrite,"2.2, 5.5",https://www.cisco.com/c/en/us/td/docs/wireless/controller/9800/technical-reference/wireless-rf-reference-guide.html
A092,34,34,exact duplicate,Exact duplicate (ignoring punctuation/formatting) of A024.,A024,merge,3.6,https://www.corsair.com/ww/en/p/psu/cp-9020170-na/vs-series-vs450-450-watt-80-plus-white-certified-psu-cp-9020170-na; https://help.corsair.com/hc/en-us/articles/14641912717453-PSU-Efficiency-Ratings-Explained
A093,34,34,retained,"Adapted and corrected. F connectors terminate coaxial cable. Plenum describes a fire/smoke rating, not a connector geometry.",A093,keep,"2.7, 3.2",https://www.netgear.com/hub/technology/connecting-cable-modem-and-router/; https://www.flukenetworks.com/blog/cabling-chronicles/wire-map-testing-it-s-not-all-about-color
A094,34,34,retained,Adapted and corrected. A tone generator and probe help trace this unlabeled run to its patch-panel termination. A loopback plug tests an interface instead.,A094,merge,2.8,https://www.flukenetworks.com/datacom-cabling/copper-testing/IntelliTone-Pro-Toner-and-Probe
A095,34,35,retained,"Adapted and corrected. RAM supplies working memory, the GPU handles graphics, and an NVMe drive supplies fast storage when supported. Accessories do not fill these missing roles.",A095,rewrite,"3.5, 5.1",https://www.intel.com/content/www/us/en/gaming/resources/what-is-bottlenecking-my-pc.html; https://www.intel.com/content/www/us/en/products/docs/processors/cpu-vs-gpu.html
A096,35,35,retained,"Scenario retained. Traditional cable internet commonly uses coax for the final connection; access networks vary. WAN means Wide Area Network; LAN means Local Area Network. An analog phone needs a working phone service or compatible voice port, not an ordinary Ethernet jack.",A096,keep,"2.7, 3.2",https://www.netgear.com/hub/technology/connecting-cable-modem-and-router/; https://www.flukenetworks.com/blog/cabling-chronicles/wire-map-testing-it-s-not-all-about-color
A097,35,35,removed,Contradictory duplicate of A079; BitLocker is not the all-disk management console; Core 2 scope.,,remove,,https://assets.ctfassets.net/82ripq7fjls2/1oSdlyujpaX3GrM0rir6Ge/91afb2be72785281e8fb4c0d9a70c6f4/CompTIA-A-220-1201-Exam-Objectives-3.0.pdf
A098,35,35,retained,Adapted and corrected. Rapid elasticity lets capacity expand or contract as demand changes. Measured service tracks usage rather than adjusting capacity.,A098,merge,4.2,https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-145.pdf
