card_id,topic,question,options,correct_letters,answer,explanation,related_objectives,source_question_ids,sources
A031,Networking,"A geostationary satellite connection has its expected throughput and its normal, stable high latency. No new fault is found. How should the technician explain the delay?","A. Restart the modem and run an online internet connection and s peed diagnostic tool.
B. Guide the customer on how to upgrade the internet plan with the provider in order to improve latency.
C. Explain to the customer this is not an issue; this situation is normal for this type of internet connection.
D. Replace the modem because it is not working correctly based o n the test result.",C,C. Explain to the customer this is not an issue; this situation is normal for this type of internet connection.,The long signal path causes substantial propagation delay. A faster download plan or a modem restart cannot remove that distance; low-Earth-orbit service differs.,2.7,A031,https://www.esa.int/Enabling_Support/Space_Transportation/Types_of_orbits
A032,Cloud and virtualization,"Client-side virtualization guest machines have security requirements similar to physical machines, but they also need to ensure separation from other guest machines. Which of the following BEST describes this client-side guest security requirement?","A. Isolation
B. Authentication
C. Hardening
D. Authorization",A,A. Isolation,"Guests require logical separation plus guest and host security. Limit shared folders, clipboard, device access and network connectivity for risky testing. A VM escape is a breach from guest to host. Do not assume running malware in any VM makes it harmless.",4.1,A032,https://learn.microsoft.com/en-us/windows/security/application-security/application-isolation/windows-sandbox/windows-sandbox-configure-using-wsb-file
A034,Displays and peripherals,"While using a popular videoconferencing program, the user selects a webcam, but the software is unable to open the webcam. The webcam was working the previous day. Which of the following should be done to address this issue?","A. Close other video software and retry.
B. Adjust the conference software to a compatible resolution.
C. Switch the video from the webcam to ""conference"" mode.
D. Reseat or replace the webcam.",A,A. Close other video software and retry.,"Another application may hold the camera; close it and retry. Also check any privacy shutter or switch. For an external webcam, confirm the USB connection. If every app fails, test the driver and hardware path. One app failure is not proof of a damaged camera.","1.1, 5.4",A034,https://support.microsoft.com/en-us/windows/hardware/camera/camera-doesn-t-work-in-windows
A035,Cloud and virtualization,A developer is requesting permission to utilize client-side visualization. The developer would like to write code in a setting isolated from other infrastructure to avoid negative impacts of experimental code. Which of the following provides the BEST solution for the developer?,"A. Cross-platform functionality
B. Software compatibility
C. Test case development
D. Sandbox environment",D,D. Sandbox environment,"Use isolated test environment; a VM alone is not a complete security boundary. Limit shared folders, clipboard, device access and network connectivity for risky testing. A VM escape is a breach from guest to host. Do not assume running malware in any VM makes it harmless.",4.1,A035,https://learn.microsoft.com/en-us/windows/security/application-security/application-isolation/windows-sandbox/windows-sandbox-configure-using-wsb-file
A036,Printers,"After a printer firmware update, its old server driver produces garbled output. The vendor documents a matching driver update, and internal test pages are normal. What should be done next?","A. Change the language settings on the printers
B. Reboot all the machines having the issues
C. Reboot all the printers.
D. Install an updated printer driver on the print server",D,D. Install an updated printer driver on the print server,The firmware and old driver are incompatible in this stated case. Install the supported matching driver on the print server.,"3.7, 5.6",A036,https://support.hp.com/ca-en/document/c03265802
A037,Printers,"A user submitted a ticket to report an issue with a new printer that is no longer accepting new print jobs. The technician verifies the printer is on and notices the printer LCD screen has the following error message: Paper Jam, Jam in fuser. Which of the following is the MOST efficient next step the technician should complete?","A. Apply a maintenance kit to the printer
B. Check the printer paper path to locate any obstructions.
C. Turn the printer on and off to see if the error clears.
D. Replace the fuser.",B,B. Check the printer paper path to locate any obstructions.,Inspect indicated paper path safely; allow hot fuser to cool and follow manual. Pull paper in the instructed direction to avoid damage. A manual-feed prompt may instead mean the job requests another tray or size. Do not bypass a sensor to make the warning disappear.,5.6,A037,https://help.brother-usa.com/app/answers/detail/a_id/182556/~/jam-error-messages
A038,Networking,A gigabit-capable PC links at only 100 Mbps. Its copper patch cable has a damaged pair. Which statement correctly guides replacement?,"A. Use a sound four-pair cable; Cat 5 is not inherently limited to 100 Mbps
B. Cat 5e always limits links to 100 Mbps
C. Cat 6 cannot support gigabit Ethernet
D. Cat 6A always limits links to 100 Mbps",A,A. Use a sound four-pair cable; Cat 5 is not inherently limited to 100 Mbps,1000BASE-T uses all four pairs and was designed for suitable Category 5 cabling. Damage or negotiation can cause a slower link.,3.2,A038,https://www.cisco.com/c/en/us/td/docs/switches/lan/catalyst1000/hardware/installation/24_48_port_hig/b_c1000_24_48_hig/product_overview.html
A041,Computer hardware,A user contacts the help desk in reference to a failing thumbprint scanner. The user states the scanner was functioning correctly yesterday. Which of the following troubleshooting steps should be performed FIRST after the ticket has been filed?,"A. Inquire about possible changes.
B. File a damage report.
C. Requisition a new scanner.
D. Attempt to clean the scanner.",A,A. Inquire about possible changes.,Ask what changed and establish symptoms before replacing hardware. A driver lets the OS communicate with hardware. Use the manufacturer or approved update source. A targeted rollback or supported update may help; replacing hardware without testing the software cause is premature.,5.1,A041,https://support.microsoft.com/en-us/windows/update-drivers-through-device-manager-in-windows-ec62f46c-ff14-c91d-eead-d7126dc1f7b6
A042,Displays and peripherals,"A laptop has been returned for a screen repair. The owner insists the screen is broken, but occasionally a faded image is able to be seen in very bright settings on the desktop. Which of the following steps should the repair technician take FIRST?","A. Replace the graphics card.
B. Replace the screen, as the customer insists.
C. Recommend the usage of an external display instead.
D. Ensure the backlight is functioning as expected.",D,D. Ensure the backlight is functioning as expected.,A faint visible image with illumination failure points to backlight path. LCD means Liquid Crystal Display. Many current LCDs use LED backlighting; some older CCFL-backlit displays use an inverter. Do not prescribe an inverter replacement for every dim modern screen. Check brightness settings too.,"3.1, 5.3",A042,https://www.dell.com/support/kbdoc/en-us/000134946/how-to-troubleshoot-display-or-video-issues-on-dell-laptop-lcd-panel
A044,Displays and peripherals,A technician powers on a PC and its monitor and sees the following error message: No input signal detected The display lights on the computer are on. Which of the following is a possible solution?,"A. Changing the BIOS settings
B. Changing the connector setting on the monitor
C. Checking the power plug on the monitor
D. Checking the power plug on the PC",B,B. Changing the connector setting on the monitor,Select matching monitor input and verify video cable/path. The display can have power while receiving no usable signal. Test with a known-good cable or source to narrow the fault. A no-signal message alone does not prove a failed GPU.,"3.1, 5.3",A044,https://www.dell.com/support/kbdoc/en-tw/000132110/how-to-troubleshoot-a-dell-desktop-monitor?lang=en
A045,Computer hardware,A laptop works with a large local database. Monitoring confirms heavy paging and a slow HDD bottleneck. The laptop supports RAM and SATA SSD upgrades. Which two changes address those findings? (Select TWO.),"A. Configure RAID 1.
B. Install a hybrid drive.
C. Upgrade to 1GB NIC.
D. Increase the RAM.
E. Migrate to a SSD.
F. Upgrade the power supply.","D,E",D. Increase the RAM.; E. Migrate to a SSD.,More RAM reduces paging; an SSD improves storage access. Neither change is justified by a database workload alone without checking the bottleneck.,"3.3, 5.1",A045,https://learn.microsoft.com/en-us/troubleshoot/windows-client/performance/introduction-to-the-page-file
A046,Computer hardware,"A user reports that a PC occasionally falls to boot. The user reboots the PC. but the performance is degrading. The technician hears a strange, repetitive, ticking noise coming from the PC. Which of the following should the technician do FIRST?","A. Try to extract data.
B. Reseat the RAM modules.
C. Inspect the fan.
D. Check the CD tray.",A,A. Try to extract data.,"Prioritize recoverable data; minimize use and escalate irreplaceable data to recovery specialists. Repeated unnecessary use can worsen some failures. Check connections too, but do not assume a filesystem repair fixes mechanical damage. A current tested backup reduces the impact.",5.2,A046,https://www.seagate.com/support/kb/my-system-reported-a-smart-error-on-the-drive-184619en/
A048,Printers,"A company just bought a printer capable of automatically printing on both sides of the paper After installation, however, the technician can only print on both sides of the paper manually. Which of the following should the technician do to fix the issue?","A. Install the most recent firmware upgrade available for the printer.
B. Contact the vendor for a hardware replacement.
C. Reinstall the printer software and drivers, and then restart the printer.
D. Read the installation manual and configure duplex settings.",D,D. Read the installation manual and configure duplex settings.,Enable automatic duplex in supported printer driver/settings. Automatic duplex hardware turns or routes the page internally; manual duplex asks the user to reinsert it. Choose the correct binding edge so the back side is not upside down.,3.7,"A048, A105",https://download.brother.com/welcome/doc002441/hl5380dn_ukeng_usr_b.pdf
A049,Cloud and virtualization,Which of the following concepts would be used by an online retailer to quickly add more web servers during peak sales times?,"A. Community cloud
B. Rapid elasticity
C. High availability
D. Metered service",B,B. Rapid elasticity,"Capacity grows and shrinks with demand. Multi-tenancy means multiple customers use shared underlying infrastructure with logical separation. Keeping unnecessary capacity permanently allocated is overprovisioning, not the definition of elasticity.",4.2,A049,https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-145.pdf
A050,Displays and peripherals,"An external USB webcam's app shows no image. The camera's USB plug is loose, and the privacy shutter is open. Which action should be tried first?","A. Install unverified webcam firmware
B. Replace the computer
C. Reconnect the webcam securely
D. Reinstall all applications",C,C. Reconnect the webcam securely,A loose USB connection interrupts the camera's data or power path. Check the simple physical fault before software changes.,"1.1, 5.4",A050,https://support.microsoft.com/en-us/windows/hardware/camera/camera-doesn-t-work-in-windows
A051,Networking,Which of the following BEST describes the main function of a web server?,"A. Storing files and controlling user access
B. Setting up personal mailboxes and calendars
C. Providing IP addresses and printing services
D. Hosting home pages and business portals",D,D. Hosting home pages and business portals,"Web server responds to HTTP/HTTPS requests. HTTP means Hypertext Transfer Protocol. TLS means Transport Layer Security. HTTPS protects the connection; it does not prove that a site's claims are honest. HTTP/3 uses QUIC over UDP, commonly on 443.","2.1, 2.3",A051,https://www.rfc-editor.org/rfc/rfc9110; https://www.rfc-editor.org/rfc/rfc9114
A052,Wireless,"Office Wi-Fi becomes slow near a running microwave, while wired clients remain normal. A survey shows interference on the affected 2.4 GHz channel. Which cause fits?","A. Hidden SSID
B. Device interference
C. Ethernet port flapping
D. High ISP latency",B,B. Device interference,"The measured interference and timing point to radio interference, not the internet provider or a hidden network name.","2.2, 5.5",A052,https://www.cisco.com/c/en/us/td/docs/wireless/controller/9800/technical-reference/wireless-rf-reference-guide.html
A053,Computer hardware,"A technician is commissioning a workstation that is required to have mirrored storage, utilizing two 4TB drives that support one failure. Which of the following BEST meets these requirements?","A. RAID 0
B. RAID 1
C. RAID 5
D. RAID 10",B,B. RAID 1,"Two mirrored 4 TB disks give about 4 TB usable and survive one disk loss; not a backup. Usable capacity is limited to roughly one member's capacity, assuming equal drives and ignoring overhead. Mirroring also copies unwanted changes, so a separate backup is still necessary.",3.4,A053,https://www.dell.com/support/kbdoc/en-us/000128635/dell-servers-what-are-the-raid-levels-and-their-specifications
A054,Wireless,Which of the following standards supports MIMO technology?,"A. 802.11a
B. 802.11b
C. 802.11g
D. 802.11n",D,D. 802.11n,"802.11n introduced MIMO among listed standards; later Wi-Fi also supports it. Both ends must support the relevant features. MU-MIMO means Multi-User MIMO. Antenna count, channel width and stream count influence the link; they do not guarantee internet speed.",2.2,A054,https://www.cisco.com/c/en/us/products/collateral/wireless/aironet-1850-series-access-points/datasheet-c78-734256.html
A055,Displays and peripherals,"Several keys on a laptop miss keystrokes. An external keyboard works normally, and debris is visible around the affected keys. Which supported action should be tried first?","A. Disable the sticky keys feature.
B. Clean the keyboard.
C. Reset the BIOS settings to default.
D. Charge the laptop.",B,B. Clean the keyboard.,Debris can obstruct key movement. Clean using the manufacturer's procedure; continued failures may require keyboard service.,"1.1, 5.4",A055,https://support.microsoft.com/en-US/Windows/Hardware/input-devices/mouse-and-keyboard-problems-in-windows
A056,Computer hardware,A technician is setting up a new desktop computer and will be installing the hard drive directly on the motherboard without using cables to connect it. Which of the following will the technician be installing?,"A. Thunderbolt
B. eSATA
C. M.2
D. SCSI",C,C. M.2,"M.2 SSD plugs into motherboard slot; verify SATA/NVMe support. Match the electrical interface, keying and supported card length. M.2 2280 is about 0.87 by 3.15 inches; the name retains the standard's size code. A physically fitting drive may still be unsupported.",3.4,A056,https://www.kingston.com/en/ssd/ssd-faq
A058,Printers,Which of the following would MOST likely be used to obtain electronic images of a large number of printed documents?,"A. NFC device
B. ADF/flatbed scanner
C. Camera/webcam
D. QR scanner",B,B. ADF/flatbed scanner,ADF feeds multiple sheets; flatbed suits single or bound originals. It handles input pages. It is not the same as a printer's output duplexer. Check whether the particular ADF supports scanning both sides.,3.7,A058,https://support.hp.com/us-en/document/ish_2056394-2056383-16
A059,Networking,A traveler needs internet at remote camps without reliable cellular coverage. The destinations permit a portable satellite terminal and offer power and an unobstructed sky view. Which option fits best?,"A. Satellite
B. DSL
C. Fiber
D. Hotspot",A,A. Satellite,"Satellite can serve remote locations without a wired last-mile connection. Coverage, local rules and suitable terminal placement remain necessary.",2.7,A059,https://www.esa.int/Enabling_Support/Space_Transportation/Types_of_orbits
A061,Computer hardware,Which device can keep a virtualization host running through a brief loss of utility power or give it time to shut down safely?,"A. Line conditioner
B. AC voltage regulator
C. Uninterruptible power supply
D. Cloud storage backup",C,C. Uninterruptible power supply,"A UPS supplies temporary battery power. It is one part of availability planning, not a guarantee of maximum uptime.",3.6,A061,https://www.eaton.com/content/dam/eaton/products/backup-power-ups-surge-it-power-distribution/backup-power-ups/eaton-ups-fundamentals-handbook-en-us-2025.pdf
A062,Computer hardware,Large spreadsheets perform poorly when opened together. Monitoring confirms memory pressure and heavy paging; the workstation supports more RAM. Which upgrade addresses this bottleneck?,"A. Increase the swap partition.
B. Upgrade the CPU in the workstation.
C. Upgrade the power supply in the workstation.
D. Upgrade the RAM in the workstation.",D,D. Upgrade the RAM in the workstation.,The measured memory shortage justifies the RAM upgrade. File size or slow performance alone would not prove the cause.,"3.3, 5.1",A062,https://learn.microsoft.com/en-us/troubleshoot/windows-client/performance/introduction-to-the-page-file
A063,Networking,A 275 ft copper Ethernet run intermittently loses its link. The NIC manual confirms its indicator reports link errors. What is the best first physical inspection?,"A. Check the RJ45 end connectors, the jacks, and the ends of the run of the Cat 5 UTP cable for loose connections, pinched bends, and visible damage.
B. Install a powered hub as close as possible to the halfway poi nt in the Cat 5 UTP cable run.
C. Replace the entire run of Cat 5 UTP cable with Cat 5 STP cabl e.
D. Upgrade the entire cable run to multimode fiber.",A,"A. Check the RJ45 end connectors, the jacks, and the ends of the run of the Cat 5 UTP cable for loose connections, pinched bends, and visible damage.",Inspect terminations and visible damage before replacing the entire run. This length is below the usual 328 ft channel limit; LED colors are model-specific.,5.5,A063,https://www.cisco.com/c/en/us/support/docs/switches/catalyst-9500-series-switches/218397-troubleshoot-port-flaps-on-catalyst-9000.html
A064,Wireless,A wireless device cannot select a channel that appears quiet in a spectrum scan. What should the technician verify first?,"A. Whether the channel is supported and permitted under the correct regional settings
B. Whether changing to any foreign country code bypasses the restriction
C. Whether every quiet frequency is automatically unlicensed
D. Whether higher transmit power unlocks every channel",A,A. Whether the channel is supported and permitted under the correct regional settings,"Quiet spectrum is not necessarily legal or supported spectrum. Hardware, regulatory rules and features such as radar detection affect channel availability.",2.2,A064,https://www.cisco.com/c/en/us/td/docs/wireless/controller/9800/technical-reference/wireless-rf-reference-guide.html
A065,Cloud and virtualization,Which of the following is a valid use for PaaS?,"A. Off-site backups
B. An application development environment
C. A virtual server installation and configuration model
D. A web application for asset management",B,B. An application development environment,Managed runtime/development platform supports deploying app code. It supplies an application platform so developers can focus on code and data. The exact responsibility boundary depends on the service; it is different from renting a bare VM to administer yourself.,4.2,A065,https://azure.microsoft.com/en-us/resources/cloud-computing-dictionary/what-are-iaas-paas-and-saas
A066,Printers,"An Intel-based Mac supports a hypervisor, a licensed Windows guest and the required Windows-only application. Which solution runs that application locally in a separate guest OS?","A. Operating system spoofing
B. Remote software provisioning
C. Indirect software implementation
D. Cross-platform virtualization",D,D. Cross-platform virtualization,"A compatible Windows VM can run the application. Guest architecture, licensing and hardware support must match; this is not guaranteed for every Mac or application.","3.7, 5.6",A066,https://support.hp.com/ca-en/document/c03265802
A067,Computer hardware,"A technician needs to add storage to a workstation. The workstation does not have room to add any internal storage, so the technician plans to add an external storage device. Which of the following connection types should the technician MOST likely use?","A. SCSI
B. eSATA
C. PCIe
D. NVMe",B,B. eSATA,eSATA is an external SATA interface; retained as explicitly listed legacy hardware knowledge. NVMe is designed for efficient access to nonvolatile storage such as SSDs. An M.2 SATA SSD does not become NVMe because it is small. Match the host interface and enclosure.,"3.2, 3.4",A067,https://www.kingston.com/en/ssd/ssd-faq; https://www.kingston.com/en/ssd/ssd-faq
A068,Networking,Which of the following utilizes TCP ports 20/21 and transfers data in cleartext?,"A. SNMP
B. SSH
C. FTP
D. Telnet",C,C. FTP,"FTP control uses TCP 21; active-mode data traditionally TCP 20; unencrypted without TLS. Passive mode uses a server-selected data port. Plain FTP does not encrypt credentials or files. SFTP is a different protocol carried over SSH, normally TCP 22.",2.1,A068,https://www.rfc-editor.org/rfc/rfc959
A069,Computer hardware,"Upon booting a workstation, a technician hears a distinct clicking sound after power is applied to the motherboard. Which of the following would MOST likely be the cause?","A. RAID
B. SSD
C. S.M.A.R.T
D. HDD",D,D. HDD,"Mechanical HDD can click; SSD has no moving parts. Repeated unnecessary use can worsen some failures. Check connections too, but do not assume a filesystem repair fixes mechanical damage. A current tested backup reduces the impact.",5.2,A069,https://www.seagate.com/support/kb/my-system-reported-a-smart-error-on-the-drive-184619en/
A071,Mobile devices,"A user reports issues with a smartphone after dropping it. The icons on the screen all look normal, but when the user touches the email icon, for example, nothing happens. Which of the following is MOST likely the cause?","A. Digitizer issues
B. Overheating
C. Broken screen
D. Malware",A,A. Digitizer issues,"Normal picture with lost touch points to input path, subject to further diagnosis. The digitizer turns touches into location data. Check supported calibration, driver and settings first. Inspect hardware and connections if appropriate. A working image does not prove the touch layer works, and not every screen supports manual calibration.","1.1, 5.4",A071,https://www.dell.com/support/kbdoc/en-us/000132121/how-to-troubleshoot-touchscreen-touch-panel-issues
